Date,Open,High,Low,Close,Volume
2024-01-01,99.58400635750381,100.49821536565615,99.02201514132332,100.04772973515136,765875
2024-01-02,100.09889030357262,100.28882349893452,98.64486203132458,98.65480712104255,897634
2024-01-03,98.96173877452273,100.1839568248338,98.29241627536364,100.14428124434981,1056101
2024-01-04,100.29199437327074,100.86900386371255,98.89319315395448,99.41719152505634,994008
2024-01-05,99.14640711333203,99.87367060099434,99.01045837902151,99.10234378216029,948600
2024-01-08,99.31335613378073,99.53111699284773,98.84191427427835,99.0872936191067,1051698
2024-01-09,98.92621136286785,101.99013170015944,98.44319064537193,101.67762994028261,1073917
2024-01-10,101.63128631055434,103.75856770149713,101.1285277916168,103.23815049664083,1078071
2024-01-11,103.46244746501756,105.05108906093501,103.31832759287038,104.63328227059566,1014002
2024-01-12,104.99800408380275,105.67916587296878,104.57029666939492,105.53757947497444,1008109
2024-01-15,105.80407800019863,107.37830442193248,105.6011428903393,106.44763963629693,943555
2024-01-16,106.33048666346774,107.284233686409,105.25187789635001,105.80151536087163,1116193
2024-01-17,105.65978998629497,105.76296871436669,103.45140281853196,103.81656033473072,1085347
2024-01-18,103.67174658471747,105.23864821182428,103.13805943589252,104.94751218944543,977043
2024-01-19,104.47176949462234,105.04811033832912,102.85725261977511,103.16499011926307,1017091
2024-01-22,102.98868005911211,104.22859518845921,102.60210768551798,104.12954319479884,962878
2024-01-23,103.85383901131061,104.93798604660019,103.61596933658369,104.70989406771197,856499
2024-01-24,104.51328979044091,105.4151324968792,104.2118233011728,105.4072306741504,1053583
2024-01-25,105.36570634541545,106.75528219456632,105.31530895181098,106.48483309392454,797519
2024-01-26,105.92144330410471,106.55522224396465,104.10119827439614,104.35150051695572,891342
2024-01-29,104.89380620650799,105.11802551014127,104.20965458019619,104.67284168221413,887965
2024-01-30,104.27507564962106,104.48719184744458,103.73235311949163,104.25800622565062,792721
2024-01-31,104.35714958528268,105.50089489843667,103.45171073036636,105.12613078275378,1008655
2024-02-01,105.22397218205342,105.23776839936949,103.75849855903967,104.76536425305218,971277
2024-02-02,104.84049176184375,104.9788791250452,102.89793257178725,103.74397772496602,1100213
2024-02-05,104.35121317517225,105.71798372869412,103.95066008373357,104.96928210228221,888810
2024-02-06,104.39124307592563,104.78906825719847,103.9155625309944,104.05430189666765,823503
2024-02-07,104.18479175479314,104.70871200643455,101.81121866038947,103.04574641108822,1349663
2024-02-08,102.63787563436459,104.57743979633106,102.47301161969695,103.25655329386318,902447
2024-02-09,103.0037412708507,103.09075319907706,101.92233236456029,102.57841171854568,1018845
