Date,Open,High,Low,Close,Volume
2024-01-01,99.93033090647802,103.32325416799577,99.2685478674922,102.2995096592898,1070471
2024-01-02,101.94389722998051,102.6044974886771,101.20224385583225,102.49540377029514,961144
2024-01-03,102.48820333433054,103.0431296641267,100.36451471166866,100.57109232456172,990209
2024-01-04,99.92113822852664,100.21015022997426,97.72802202564505,98.03549193277375,692230
2024-01-05,98.14229954455742,99.64597546583437,97.36687907441942,99.22098727683651,1100296
2024-01-08,100.16660387994034,100.99350644083935,99.93359443809753,100.73952883210232,979968
2024-01-09,100.99141198671695,102.89581038722234,100.67551716079166,102.1287874431998,947751
2024-01-10,102.45184192676783,103.37290925459416,101.72272810369955,102.00354825400262,949027
2024-01-11,101.90327407390045,103.00148451352625,100.52649320350443,102.41644878826337,900795
2024-01-12,101.46587829741102,102.0525368241252,100.07656882648006,100.62911693726393,975867
2024-01-15,100.53047598956236,102.60444765847708,100.49612198673458,101.97375200244718,1125900
2024-01-16,101.60233305287653,101.94283231719562,100.36468072360391,100.49826469479294,1077698
2024-01-17,100.78032861092261,101.45816415395898,100.77302124045707,100.83195048311238,974717
2024-01-18,100.20135635902865,100.61363425976715,98.58104989539864,98.78907145518443,877326
2024-01-19,99.23481519719033,100.59278678878266,98.26047763002417,99.15083548920043,889253
2024-01-22,99.2629104310197,101.47970536104145,98.58385628386664,101.01464369516337,865655
2024-01-23,101.03818993826745,101.906956564212,100.92441831490345,101.57253580425444,1033377
2024-01-24,101.88853502815527,102.54695750866533,100.89825672150499,102.05281271830891,730327
2024-01-25,102.5376554643229,104.35579064576297,101.39343649150256,103.7206326540517,1011884
2024-01-26,104.46642321854108,105.88936675943668,104.23343173608356,105.56235722698709,892824
2024-01-29,105.43599287667924,106.07814103154584,104.06376050464523,105.35888821018092,1214220
2024-01-30,104.97080911369663,106.83691307855301,104.56795650328372,106.29162471967534,1053105
2024-01-31,106.56176324397423,108.5093546125784,106.15454410451038,108.0296935455745,1040894
2024-02-01,108.06582778304096,108.42645984967676,104.79293141058416,105.60386834655503,1201817
2024-02-02,106.17802415986519,108.38508177536822,105.3175839195246,108.21936756796622,1001446
2024-02-05,107.74602844730593,108.08735047323178,107.70699038353492,107.83050383892908,843681
2024-02-06,107.79611472276294,108.9587353812078,106.96329849471819,107.5402822169813,1001373
2024-02-07,107.55930066345654,107.81262609524475,106.8607499892354,107.6815255705904,981873
2024-02-08,107.14298203188696,107.47162501002921,105.72931948929286,105.97811243001465,785595
2024-02-09,106.40020264370115,107.07641236648269,105.38156798451584,106.03421078469101,1004669
2024-02-12,105.57457418514218,105.79286328162898,104.05609645151144,104.29343495707893,1154479
